AK	4833
AL	735
AR	2959
AZ	6626
CA	38332
CO	5268
CT	3596
DC	646
DE	925
FL	19552
GA	9992
HI	1404
IA	3090
ID	1612
IL	12882
IN	6570
KS	2893
KY	4395
LA	4625
MA	6692
MD	5928
ME	1328
MI	9895
MN	5420
MO	6044
MS	2991
MT	1015
NC	9848
ND	723
NE	1868
NH	1323
NJ	8899
NM	2085
NV	2790
NY	19651
OH	11570
OK	3850
OR	3930
PA	12773
RI	1051
SC	4774
SD	844
TN	6495
TX	26448
UT	2900
VA	8260
VT	626
WA	6971
WI	5742
WV	1854
WY	582
